ticker,Total Assets,Total Revenue,description,profitability_ratio,generated_prompt,generated_sentiment_label,generated_sentiment_score,hidden_competitor_cluster,sector
PNR,4197200000.0,3017800000.0,"Pentair plc provides various smart water solutions worldwide. It operates through two segments, Consumer Solutions; and Industrial &amp; Flow Technologies. The Consumer Solutions segment designs, manufactures, and sells residential and commercial pool equipment and accessories, including pumps, filters, heaters, lights, automatic controls, automatic cleaners, maintenance equipment, and pool accessories for residential and commercial pool maintenance, repair, renovation, service, and construction applications; and water treatment products and systems comprising pressure tanks, control valves, activated carbon products, conventional filtration products, and point-of-entry and point-of-use systems for the use in residential whole home water filtration, drinking water filtration, and water softening solutions, as well as in commercial total water management and filtration in foodservice operations. This segment offers its products under the Everpure, Kreepy Krauly, Pelican, Pentair Water Solutions, RainSoft, and Sta-Rite brands. The Industrial &amp; Flow Technologies segment manufactures and sells fluid treatment products, such as advanced membrane filtration products, separation systems, and membrane bioreactors; water supply and disposal, solid handling, fluid transfer, and turbine pumps; and valves, spray nozzles, process filtration systems, and gas recovery solutions for food and beverage, fluid separation technologies, water and wastewater treatment, water wells, pressure boosting, fire suppression, flood control, agricultural irrigation, crop spray, fluid circulation and transfer, fluid delivery, ion exchange, desalination, residential and municipal wells, and wastewater solids handling applications. This segment offers its products under the Pentair, Aurora, Berkeley, Codeline, Fairbanks-Nijhuis, Haffmans, Hydromatic, Hypro, Jung Pumpen, Myers, Sta-Rite, Shurflo, SÃ¼dmo, and X-Flow brands. Pentair plc was founded in 1966 and is headquartered in London, the United Kingdom.",0.7190031449537787,"The company aims for growth and expansion based on the following information: Pentair plc provides various smart water solutions worldwide. It operates through two segments, Consumer Solutions; and Industrial &amp; Flow Technologies. The Consumer Solutions segment designs, manufactures, and sells residential and commercial pool equipment and accessories, including pumps, filters, heaters, lights, automatic controls, automatic cleaners, maintenance equipment, and pool accessories for residential and commercial pool maintenance, repair, renovation, service, and construction applications; and water treatment products and systems comprising pressure tanks, control valves, activated carbon products, conventional filtration products, and point-of-entry and point-of-use systems for the use in residential whole home water filtration, drinking water filtration, and water softening solutions, as well as in commercial total water management and filtration in foodservice operations. This segment offers its products under the Everpure, Kreepy Krauly, Pelican, Pentair Water Solutions, RainSoft, and Sta-Rite brands. The Industrial &amp; Flow Technologies segment manufactures and sells fluid treatment products, such as advanced membrane filtration products, separation systems, and membrane bioreactors; water supply and disposal, solid handling, fluid transfer, and turbine pumps; and valves, spray nozzles, process filtration systems, and gas recovery solutions for food and beverage, fluid separation technologies, water and wastewater treatment, water wells, pressure boosting, fire suppression, flood control, agricultural irrigation, crop spray, fluid circulation and transfer, fluid delivery, ion exchange, desalination, residential and municipal wells, and wastewater solids handling applications. This segment offers its products under the Pentair, Aurora, Berkeley, Codeline, Fairbanks-Nijhuis, Haffmans, Hydromatic, Hypro, Jung Pumpen, Myers, Sta-Rite, Shurflo, SÃ¼dmo, and X-Flow brands. Pentair plc was founded in 1966 and is headquartered in London, the United Kingdom. How successful does this suggest the company is?",Neutral,0.9998983144760132,18,Finance
MOV,719257000.0,506397000.0,"Movado Group, Inc. designs, sources, markets, and distributes watches worldwide. It operates in two segments, Watch and Accessory Brands, and Company Stores. The company offers its watches under the Movado, Concord, Ebel, Olivia Burton, and MVMT brands, as well as licensed brands, such as Coach, Tommy Hilfiger, HUGO BOSS, Lacoste, and Scuderia Ferrari. It also provides after-sales and shipping services. As of January 31, 2021, the company operated 47 retail outlet locations. Its customers include jewelry store chains, department stores, independent regional jewelers, licensors' retail stores, and a network of independent distributors. The company also sells directly to consumers via its e-commerce platforms. The company was formerly known as North American Watch Corporation and changed its name to Movado Group, Inc. in 1996. Movado Group, Inc. was founded in 1961 and is based in Paramus, New Jersey.",0.7040557130483263,"The company aims for growth and expansion based on the following information: Movado Group, Inc. designs, sources, markets, and distributes watches worldwide. It operates in two segments, Watch and Accessory Brands, and Company Stores. The company offers its watches under the Movado, Concord, Ebel, Olivia Burton, and MVMT brands, as well as licensed brands, such as Coach, Tommy Hilfiger, HUGO BOSS, Lacoste, and Scuderia Ferrari. It also provides after-sales and shipping services. As of January 31, 2021, the company operated 47 retail outlet locations. Its customers include jewelry store chains, department stores, independent regional jewelers, licensors' retail stores, and a network of independent distributors. The company also sells directly to consumers via its e-commerce platforms. The company was formerly known as North American Watch Corporation and changed its name to Movado Group, Inc. in 1996. Movado Group, Inc. was founded in 1961 and is based in Paramus, New Jersey. How successful does this suggest the company is?",Neutral,0.9997531771659851,6,Technology
IAA,2528900000.0,1384900000.0,"IAA, Inc. provides auction solutions for total loss, damaged, and low-value vehicles. The company's platform facilitates the marketing and sale of total loss, damaged, and low-value vehicles for a spectrum of sellers. Its solutions provide buyers with the vehicles need to, among other things, fulfill vehicle rebuild requirements, replacement part inventory, or scrap demand. The company serves a buyer base and spectrum of sellers, including insurance companies, dealerships, fleet lease and rental car companies, and charitable organizations. The company has approximately 200 facilities in the United States, Canada, and the United Kingdom. IAA, Inc. was founded in 1982 and is headquartered in Westchester, Illinois.",0.5476294040887343,"The company aims for growth and expansion based on the following information: IAA, Inc. provides auction solutions for total loss, damaged, and low-value vehicles. The company's platform facilitates the marketing and sale of total loss, damaged, and low-value vehicles for a spectrum of sellers. Its solutions provide buyers with the vehicles need to, among other things, fulfill vehicle rebuild requirements, replacement part inventory, or scrap demand. The company serves a buyer base and spectrum of sellers, including insurance companies, dealerships, fleet lease and rental car companies, and charitable organizations. The company has approximately 200 facilities in the United States, Canada, and the United Kingdom. IAA, Inc. was founded in 1982 and is headquartered in Westchester, Illinois. How successful does this suggest the company is?",Positive,0.9200475215911865,12,Technology
APG,4065000000.0,3587000000.0,"APi Group Corporation provides safety, specialty, and industrial services primarily in North America. It operates through three segments: Safety Services, Specialty Services, and Industrial Services. The Safety Services segment offers safety solutions focusing on end-to-end integrated occupancy systems, such as fire protection solutions, and HVAC and entry systems, which include the design, installation, inspection, and service of these integrated systems. The Specialty Services segment offers infrastructure services and specialized industrial plant solutions, including maintenance and repair of underground electric, gas, water, sewer, and telecommunications infrastructure. The Industrial Services segment provides various services and solutions comprising oil and gas pipeline infrastructure, access and road construction, supporting facilities, and integrity management and maintenance to the energy industry focused on transmission and distribution. APi Group Corporation serves customers in the public and private sectors, including commercial, industrial, data center, distribution, manufacturing, education, healthcare, communications, utilities, energy, high tech, and governmental markets. The company was formerly known as J2 Acquisition Limited and changed its name to APi Group Corporation in October 2019. APi Group Corporation was founded in 1926 and is headquartered in New Brighton, Minnesota.",0.8824108241082411,"The company aims for growth and expansion based on the following information: APi Group Corporation provides safety, specialty, and industrial services primarily in North America. It operates through three segments: Safety Services, Specialty Services, and Industrial Services. The Safety Services segment offers safety solutions focusing on end-to-end integrated occupancy systems, such as fire protection solutions, and HVAC and entry systems, which include the design, installation, inspection, and service of these integrated systems. The Specialty Services segment offers infrastructure services and specialized industrial plant solutions, including maintenance and repair of underground electric, gas, water, sewer, and telecommunications infrastructure. The Industrial Services segment provides various services and solutions comprising oil and gas pipeline infrastructure, access and road construction, supporting facilities, and integrity management and maintenance to the energy industry focused on transmission and distribution. APi Group Corporation serves customers in the public and private sectors, including commercial, industrial, data center, distribution, manufacturing, education, healthcare, communications, utilities, energy, high tech, and governmental markets. The company was formerly known as J2 Acquisition Limited and changed its name to APi Group Corporation in October 2019. APi Group Corporation was founded in 1926 and is headquartered in New Brighton, Minnesota. How successful does this suggest the company is?",Neutral,0.9998912811279297,8,Telecommunication
KN,1654900000.0,764300000.0,"Knowles Corporation designs, manufactures, and sells micro-acoustic, audio processing, and precision device solutions for the mobile consumer electronics, communications, medtech, defense, electric vehicle, and industrial markets. It operates in two segments, Audio and Precision Devices (PD). The Audio segment designs and manufactures audio products, including microphones, balanced armature speakers, and audio processors used in applications that serve the mobile, ear, and Internet of Things markets. The PD segment designs and delivers capacitor products and mmWave radio frequency solutions that are used in applications, such as power supplies and medical implants, satellite communication, and radar systems, as well as for telecommunications infrastructure applications. The company also provides single layer electronic components to the telecommunication, fiber optics, and defense markets. It sells its products directly to original equipment manufacturers and to their contract manufacturers and suppliers, as well as through distributors. The company has operations in Asia, the United States, Europe, other Americas, and internationally. Knowles Corporation was founded in 1946 and is headquartered in Itasca, Illinois.",0.4618405945978609,"The company aims for growth and expansion based on the following information: Knowles Corporation designs, manufactures, and sells micro-acoustic, audio processing, and precision device solutions for the mobile consumer electronics, communications, medtech, defense, electric vehicle, and industrial markets. It operates in two segments, Audio and Precision Devices (PD). The Audio segment designs and manufactures audio products, including microphones, balanced armature speakers, and audio processors used in applications that serve the mobile, ear, and Internet of Things markets. The PD segment designs and delivers capacitor products and mmWave radio frequency solutions that are used in applications, such as power supplies and medical implants, satellite communication, and radar systems, as well as for telecommunications infrastructure applications. The company also provides single layer electronic components to the telecommunication, fiber optics, and defense markets. It sells its products directly to original equipment manufacturers and to their contract manufacturers and suppliers, as well as through distributors. The company has operations in Asia, the United States, Europe, other Americas, and internationally. Knowles Corporation was founded in 1946 and is headquartered in Itasca, Illinois. How successful does this suggest the company is?",Neutral,0.9993700385093689,0,Telecommunication
SVMK,877817000.0,375610000.0,"SVMK Inc. provides software solutions that help companies turn stakeholder feedback into action in the United States and internationally. It offers survey software products that enable customers to measure, benchmark, and act on stakeholder feedback; GetFeedback CX platform, which enables companies to engage and retain their customers based on the ability to continuously listen and act on digital feedback; GetFeedback Digital provides continuous and in-the-moment customer feedback from a company's website, web apps, and mobile apps; GetFeedback Direct that enables survey deployment to company's customers through email and SMS; and GetFeedback Complete, an end-to-end customer experience solution that combines GetFeedback Digital and GetFeedback Direct. The company also provides SurveyMonkey Audience, which enables organizations to collect and analyze real-time actionable data from targeted panelists; Expert solutions offers a suite of pre-built market research software modules, such as ad and video creative, product concept, packaging and logo design, brand name, and messaging and claims analysis for customers to test product and marketing concepts; TechValidate, a marketing content automation solution; SurveyMonkey Apply, an application management solution; and Wufoo that helps users create web and mobile forms, collect file uploads, and receive online payments. It serves financial services, internet, technology, healthcare, media and entertainment, consumer goods and retail, transportation and logistics, government agencies, manufacturing, energy, education, professional services, and non-profit organizations. The company was formerly known as SurveyMonkey Inc. and changed its name to SVMK Inc. in March 2013. SVMK Inc. was founded in 1999 and is headquartered in San Mateo, California.",0.4278910068955147,"The company aims for growth and expansion based on the following information: SVMK Inc. provides software solutions that help companies turn stakeholder feedback into action in the United States and internationally. It offers survey software products that enable customers to measure, benchmark, and act on stakeholder feedback; GetFeedback CX platform, which enables companies to engage and retain their customers based on the ability to continuously listen and act on digital feedback; GetFeedback Digital provides continuous and in-the-moment customer feedback from a company's website, web apps, and mobile apps; GetFeedback Direct that enables survey deployment to company's customers through email and SMS; and GetFeedback Complete, an end-to-end customer experience solution that combines GetFeedback Digital and GetFeedback Direct. The company also provides SurveyMonkey Audience, which enables organizations to collect and analyze real-time actionable data from targeted panelists; Expert solutions offers a suite of pre-built market research software modules, such as ad and video creative, product concept, packaging and logo design, brand name, and messaging and claims analysis for customers to test product and marketing concepts; TechValidate, a marketing content automation solution; SurveyMonkey Apply, an application management solution; and Wufoo that helps users create web and mobile forms, collect file uploads, and receive online payments. It serves financial services, internet, technology, healthcare, media and entertainment, consumer goods and retail, transportation and logistics, government agencies, manufacturing, energy, education, professional services, and non-profit organizations. The company was formerly known as SurveyMonkey Inc. and changed its name to SVMK Inc. in March 2013. SVMK Inc. was founded in 1999 and is headquartered in San Mateo, California. How successful does this suggest the company is?",Neutral,0.9250161647796631,14,Technology
TMX,4837000000.0,1961000000.0,"Terminix Global Holdings, Inc. provides residential and commercial termite and pest management services. It offers termite and pest control services, including termite remediation, annual termite inspection, and prevention treatments with termite damage repair guarantees, periodic pest control services, insulation services, crawlspace encapsulation, wildlife exclusion, and disinfection services. The company serves under the Terminix, Assured Environments, Copesan, Gregory, McCloud, Nomor AB, and Pelias brands. It markets its services to homeowners and businesses through digital marketing, television and radio advertising, print advertisements, marketing partnerships, door-to-door summer sales programs, telemarketing, and various social media channels and through national, regional and local sales teams. The company was formerly known as ServiceMaster Global Holdings, Inc. and changed its name to Terminix Global Holdings, Inc. in October 2020. Terminix Global Holdings, Inc. was founded in 1929 and is headquartered in Memphis, Tennessee.",0.40541658052511886,"The company aims for growth and expansion based on the following information: Terminix Global Holdings, Inc. provides residential and commercial termite and pest management services. It offers termite and pest control services, including termite remediation, annual termite inspection, and prevention treatments with termite damage repair guarantees, periodic pest control services, insulation services, crawlspace encapsulation, wildlife exclusion, and disinfection services. The company serves under the Terminix, Assured Environments, Copesan, Gregory, McCloud, Nomor AB, and Pelias brands. It markets its services to homeowners and businesses through digital marketing, television and radio advertising, print advertisements, marketing partnerships, door-to-door summer sales programs, telemarketing, and various social media channels and through national, regional and local sales teams. The company was formerly known as ServiceMaster Global Holdings, Inc. and changed its name to Terminix Global Holdings, Inc. in October 2020. Terminix Global Holdings, Inc. was founded in 1929 and is headquartered in Memphis, Tennessee. How successful does this suggest the company is?",Neutral,0.9996930360794067,12,Technology
VLO,51774000000.0,60115000000.0,"Valero Energy Corporation manufactures, markets, and sells transportation fuels and petrochemical products in the United States, Canada, the United Kingdom, Ireland, and internationally. It operates through three segments: Refining, Renewable Diesel, and Ethanol. The company is involved in oil and gas refining, marketing, and bulk selling activities. It produces conventional, premium, and reformulated gasolines; gasoline meeting the specifications of the California Air Resources Board (CARB); diesel fuels, low-sulfur and ultra-low-sulfur diesel fuels; CARB diesel; other distillates; jet fuels; blendstocks; lube oils and natural gas liquids; and asphalts, petrochemicals, lubricants, and other refined petroleum products. As of December 31, 2020, the company owned 15 petroleum refineries with a combined throughput capacity of approximately 3.2 million barrels per day. It sells its refined products through wholesale rack and bulk markets; and through approximately 7,000 outlets under the Valero, Beacon, Diamond Shamrock, Shamrock, Ultramar, and Texaco brands. The company also produces and sells ethanol, dry distiller grains, syrup, and inedible corn oil primarily to refiners and gasoline blenders, as well as to animal feed customers. It owns and operates 13 ethanol plants with a combined ethanol production capacity of approximately 1.69 billion gallons per year. In addition, the company owns and operates crude oil and refined petroleum products pipelines, terminals, tanks, marine docks, truck rack bays, and other logistics assets. Further, it owns and operates a plant that processes animal fats, used cooking oils, and other vegetable oils into renewable diesel. The company was formerly known as Valero Refining and Marketing Company and changed its name to Valero Energy Corporation in August 1997. Valero Energy Corporation was founded in 1980 and is headquartered in San Antonio, Texas.",1.1611040290493297,"The company aims for growth and expansion based on the following information: Valero Energy Corporation manufactures, markets, and sells transportation fuels and petrochemical products in the United States, Canada, the United Kingdom, Ireland, and internationally. It operates through three segments: Refining, Renewable Diesel, and Ethanol. The company is involved in oil and gas refining, marketing, and bulk selling activities. It produces conventional, premium, and reformulated gasolines; gasoline meeting the specifications of the California Air Resources Board (CARB); diesel fuels, low-sulfur and ultra-low-sulfur diesel fuels; CARB diesel; other distillates; jet fuels; blendstocks; lube oils and natural gas liquids; and asphalts, petrochemicals, lubricants, and other refined petroleum products. As of December 31, 2020, the company owned 15 petroleum refineries with a combined throughput capacity of approximately 3.2 million barrels per day. It sells its refined products through wholesale rack and bulk markets; and through approximately 7,000 outlets under the Valero, Beacon, Diamond Shamrock, Shamrock, Ultramar, and Texaco brands. The company also produces and sells ethanol, dry distiller grains, syrup, and inedible corn oil primarily to refiners and gasoline blenders, as well as to animal feed customers. It owns and operates 13 ethanol plants with a combined ethanol production capacity of approximately 1.69 billion gallons per year. In addition, the company owns and operates crude oil and refined petroleum products pipelines, terminals, tanks, marine docks, truck rack bays, and other logistics assets. Further, it owns and operates a plant that processes animal fats, used cooking oils, and other vegetable oils into renewable diesel. The company was formerly known as Valero Refining and Marketing Company and changed its name to Valero Energy Corporation in August 1997. Valero Energy Corporation was founded in 1980 and is headquartered in San Antonio, Texas. How successful does this suggest the company is?",Neutral,0.9999978542327881,11,Energy
WMB,44165000000.0,7719000000.0,"The Williams Companies, Inc., together with its subsidiaries, operates as an energy infrastructure company primarily in the United States. It operates through Transmission &amp; Gulf of Mexico, Northeast G&amp;P, and West segments. The Transmission &amp; Gulf of Mexico segment comprises Transco and Northwest natural gas pipelines; and natural gas gathering and processing, and crude oil production handling and transportation assets in the Gulf Coast region. The Northeast G&amp;P segment engages in the midstream gathering, processing, and fractionation activities in the Marcellus Shale region primarily in Pennsylvania and New York, and the Utica Shale region of eastern Ohio. The West segment comprises gas gathering, processing, and treating operations in the Rocky Mountain region of Colorado and Wyoming, the Barnett Shale region of north-central Texas, the Eagle Ford Shale region of South Texas, the Haynesville Shale region of northwest Louisiana, and the Mid-Continent region, which includes the Anadarko, Arkoma, and Permian basins; and natural gas liquid (NGL) and natural gas marketing operations, as well as storage facilities. The company owns and operates 30,000 miles of pipelines, 34 processing facilities, 9 fractionation facilities, and approximately 23 million barrels of NGL storage capacity. The Williams Companies, Inc. was founded in 1908 and is headquartered in Tulsa, Oklahoma.",0.17477640665685498,"The company aims for growth and expansion based on the following information: The Williams Companies, Inc., together with its subsidiaries, operates as an energy infrastructure company primarily in the United States. It operates through Transmission &amp; Gulf of Mexico, Northeast G&amp;P, and West segments. The Transmission &amp; Gulf of Mexico segment comprises Transco and Northwest natural gas pipelines; and natural gas gathering and processing, and crude oil production handling and transportation assets in the Gulf Coast region. The Northeast G&amp;P segment engages in the midstream gathering, processing, and fractionation activities in the Marcellus Shale region primarily in Pennsylvania and New York, and the Utica Shale region of eastern Ohio. The West segment comprises gas gathering, processing, and treating operations in the Rocky Mountain region of Colorado and Wyoming, the Barnett Shale region of north-central Texas, the Eagle Ford Shale region of South Texas, the Haynesville Shale region of northwest Louisiana, and the Mid-Continent region, which includes the Anadarko, Arkoma, and Permian basins; and natural gas liquid (NGL) and natural gas marketing operations, as well as storage facilities. The company owns and operates 30,000 miles of pipelines, 34 processing facilities, 9 fractionation facilities, and approximately 23 million barrels of NGL storage capacity. The Williams Companies, Inc. was founded in 1908 and is headquartered in Tulsa, Oklahoma. How successful does this suggest the company is?",Neutral,0.9999951124191284,11,Energy
CPK,1932487000.0,488198000.0,"Chesapeake Utilities Corporation operates as an energy delivery company. The Regulated Energy segment engages in the natural gas distribution operations in central and southern Delaware, Maryland's eastern shore, and Florida; regulated natural gas transmission in the Delmarva Peninsula and Florida; and regulated electric distribution in northeast and northwest Florida. The Unregulated Energy segment engages in the propane operations in the Mid-Atlantic region and Florida; unregulated natural gas transmission/supply operation in central and eastern Ohio; generation of electricity and steam; and provision of compressed natural gas, liquefied natural gas, and renewable natural gas transportation and pipeline solutions primarily to utilities and pipelines in the eastern United States. This segment also provides other unregulated energy services, such as energy-related merchandise sales; heating, ventilation, and air conditioning services; and plumbing and electrical services. The company was founded in 1859 and is headquartered in Dover, Delaware.",0.2526267964545169,"The company aims for growth and expansion based on the following information: Chesapeake Utilities Corporation operates as an energy delivery company. The Regulated Energy segment engages in the natural gas distribution operations in central and southern Delaware, Maryland's eastern shore, and Florida; regulated natural gas transmission in the Delmarva Peninsula and Florida; and regulated electric distribution in northeast and northwest Florida. The Unregulated Energy segment engages in the propane operations in the Mid-Atlantic region and Florida; unregulated natural gas transmission/supply operation in central and eastern Ohio; generation of electricity and steam; and provision of compressed natural gas, liquefied natural gas, and renewable natural gas transportation and pipeline solutions primarily to utilities and pipelines in the eastern United States. This segment also provides other unregulated energy services, such as energy-related merchandise sales; heating, ventilation, and air conditioning services; and plumbing and electrical services. The company was founded in 1859 and is headquartered in Dover, Delaware. How successful does this suggest the company is?",Neutral,0.9999434947967529,15,Energy
